FIELDS;DESCRIPTION;CATEGORY;SECTION
NA23;3.4.2 Exclusive Distributor of OEM;Additional Product details;Operational Information
NA24;3.4.3 Non Exclusive Distributor of OEM;Additional Product details;Operational Information
S3G5T1F2;<Options Add Addtional Exclusive Distributor of OEM information: all the information in 3.5.1>;OEM Products;Operational Information
S3G5T1F3;Country;OEM Products;Operational Information
S3G5T1F4;Category of product;OEM Products;Operational Information
S3G5T2F1;Non OEM;NON OEM Products;Operational Information
S3G5T2F2;<Options Add Addtional Non Exclusive Distributor of OEM information: all the information in 3.5.2>;NON OEM Products;Operational Information
S3G5T2F3;Country;NON OEM Products;Operational Information
S3G5T2F4;Category of product;NON OEM Products;Operational Information
NA4;Options to suppliers: a) Same as Head Officeb) Add all the details in Registered office;Address related;General  Information
S1G5T2F1;Supplier Type;Other Supplier info;General  Information
S4G4D1;Do you provide Academic discounts?;Disclosures Information;Disclosures Information
S4G7D1;Are your products in accordance with REACH?;Disclosures Information;Disclosures Information
S4G8D1;Are they in accordance with CLP?;Disclosures Information;Disclosures Information
S4G9D1;Do you know and apply the International Traffic Arms Regulation (ITAR)?;Disclosures Information;Disclosures Information
S2G3T1F6;Owner's % of ownership;Owner's Info;Bank Information
S5A13F1;Signed Non-disclosure Agreement (NDA);Attachment ids;Attachment ids
S1G2T1F8;State;Other Contact details;General  Information
S1G2T1F7;CIty;Other Contact details;General  Information
S1G2T1F9;Postal code/ZIP Code/ PO Box No.;Other Contact details;General  Information
NA14;EN 9100;Disclosures Information;Disclosures Information
NA15;ISO TS 16949;Disclosures Information;Disclosures Information
NA16;UNE EN ISO 3834;Disclosures Information;Disclosures Information
NA17;AQAP 2110, 2120, 2130;Disclosures Information;Disclosures Information
NA18;ISO 14001;Disclosures Information;Disclosures Information
NA19;OHSAS 18001;Disclosures Information;Disclosures Information
NA20;Other (indicate);Disclosures Information;Disclosures Information
NA22;If not;;
S4G12D1;3.2.1  Do you have a process control documentation to ensure that no counterfeit parts are used in your products?;Disclosures Information;Disclosures Information
S4G12D2;3.2.2  Does your company have established a quality agreement within the sector?;Disclosures Information;Disclosures Information
S4G12D3;3.2.3  Do you have a process control documentation to ensure manufacturing?;Disclosures Information;Disclosures Information
S4G12D4;3.2.4  Do you have written technical specifications of the products you manufacture or services?;Disclosures Information;Disclosures Information
S4G12D5;3.2.5  Do you collect Quality plans;;
S4G12D6;3.2.6  Are there procedures for analysis and risk management for compliance with industrial processes?;Disclosures Information;Disclosures Information
S4G12D7;3.2.7  Do you have a configuration control system for managing changes in customer demands?;Disclosures Information;Disclosures Information
S4G12D8;3.2.8  Do you have control and planning processes of pre-production series;;
S4G12D9;3.2.9  Do you have a continuous improvement program for products and processes throughout the company?;Disclosures Information;Disclosures Information
S4G12D10;3.2.10 Do you have the EPI Quality Supplier Requirements communicated to your employees;Disclosures Information;Disclosures Information
S4G13D1;3.3.1  Are there procedures for evaluating suppliers;;
S4G13D2;3.3.2  Based on the continuous monitoring of suppliers;;
S4G13D3;3.3.3  Are there technical specifications of the material to buy?;Disclosures Information;Disclosures Information
S4G13D4;3.3.4  Do they perform inspections and acceptance tests of the material purchased leaving a written record?;Disclosures Information;Disclosures Information
S4G13D5;3.3.5  Do you have a documented procedure to control orders linking them with production planning and shopping?;Disclosures Information;Disclosures Information
S4G13D6;3.3.6  Are there procedures for the control of technical documentation for new products and / or engineering changes?;Disclosures Information;Disclosures Information
S4G14D1;3.4.1  Do you have a qualified staff for the diferent duties and have records of that qualification?;Disclosures Information;Disclosures Information
S4G14D2;3.4.2  Do you have an array of qualifications of staff both manufacturing and inspection?;Disclosures Information;Disclosures Information
S4G14D3;3.4.3  Are there procedures for incoming inspection;;
S4G14D4;3.4.4  Do you perform inspections and tests during manufacture in a written record?;Disclosures Information;Disclosures Information
