LAND1;BLAND;BEZEI
AD;02;Canillo
AD;03;Encamp
AD;04;LaMassana
AD;05;Ordino
AD;06;SantJuliàdeLòria
AD;07;AndorralaVella
AD;08;Escaldes-Engordany
AE;AJ;Ajman
AE;AZ;AbuDhabi
AE;FU;Fujairah
AE;RK;Rasal-Khaimah
AE;SH;Sharjah
AE;UQ;Ummal-Quwain
AF;BAL;Balkh
AF;BAM;Bamyan
AF;BDG;Badghis
AF;BDS;Badakhshan
AF;BGL;Baglan
AF;DAY;Daykundi
AF;FRA;Farah
AF;FYB;Faryab
AF;GHA;Ghazni
AF;GHO;Ghor
AF;HEL;Helmand
AF;HER;Herat
AF;JOW;Jowzjan
AF;KAB;Kabul
AF;KAN;Kandahar
AF;KAP;Kapisa
AF;KDZ;Kunduz
AF;KHO;Khost
AF;KNR;Kunar
AF;LAG;Laghman
AF;LOG;Logar
AF;NAN;Nangarhar
AF;NIM;Nimruz
AF;NUR;Nuristan
AF;PAN;Panjshir
AF;PAR;Parwan
AF;PIA;Paktia
AF;PKA;Paktika
AF;SAM;Samangan
AF;SAR;Sar-ePul
AF;TAK;Takhar
AF;URU;Uruzgan
AF;WAR;Wardak
AF;ZAB;Zabul
AL;01;Berat
AL;02;Durrës
AL;03;Elbasan
AL;04;Fier
AL;05;Gjirokastër
AL;06;Korçë
AL;07;Kukës
AL;08;Lezhë
AL;09;Dibër
AL;10;Shkodër
AL;11;Tiranë
AL;12;Vlorë
AM;AG;Aragatsotn
AM;AR;Ararat
AM;AV;Armavir
AM;ER;Yerevan
AM;GR;Gegharkunik
AM;KT;Kotayk
AM;LO;Lori
AM;SH;Shirak
AM;SU;Syunik
AM;TV;Tavush
AM;VD;VayotsDzor
AO;BGO;Bengo
AO;BGU;Benguela
AO;BIE;Bié
AO;CAB;Cabinda
AO;CCU;KuandoKubango
AO;CNN;Cunene
AO;CNO;KwanzaNorte
AO;CUS;KwanzaSul
AO;HUA;Huambo
AO;HUI;Huíla
AO;LNO;LundaNorte
AO;LSU;LundaSul
AO;LUA;Luanda
AO;MAL;Malange
AO;MOX;Moxico
AO;NAM;Namibe
AO;UIG;Uíge
AO;ZAI;Zaire
AR;00;CapitalFederal
AR;01;BuenosAires
AR;02;Catamarca
AR;03;Cordoba
AR;04;Corrientes
AR;05;EntreRios
AR;06;Jujuy
AR;07;Mendoza
AR;08;LaRioja
AR;09;Salta
AR;10;SanJuan
AR;11;SanLuis
AR;12;SantaFe
AR;13;SantiagodelEstero
AR;14;Tucuman
AR;16;Chaco
AR;17;Chubut
AR;18;Formosa
AR;19;Misiones
AR;20;Neuquen
AR;21;LaPampa
AR;22;RioNegro
AR;23;SantaCruz
AR;24;TierradelFuego
AT;1;Burgenland
AT;2;Carinthia
AT;3;LowerAustria
AT;4;UpperAustria
AT;5;Salzburg
AT;6;Styria
AT;7;Tyrol
AT;8;Vorarlberg
AT;9;Vienna
AT;B;Burgenland
AT;K;Carinthia
AT;NOE;LowerAustria
AT;OOE;UpperAustria
AT;S;Salzburg
AT;ST;Styria
AT;T;Tyrol
AT;V;Vorarlberg
AT;W;Vienna
AU;ACT;AustCapitalTerr
AU;NSW;NewSouthWales
AU;NT;NorthernTerritory
AU;QLD;Queensland
AU;SA;SouthAustralia
AU;TAS;Tasmania
AU;VIC;Victoria
AU;WA;WesternAustralia
AZ;ABS;Abşeron
AZ;AGA;Ağstafa
AZ;AGC;Ağcabədi
AZ;AGM;Ağdam
AZ;AGS;Ağdaş
